ytid,start_s,end_s,labels,Scream,Shout,Crying,Explosion,Gunshot,Glass,Siren,Alarm
XDuSUbVG5dc,0.0,10.0,"/m/03j1ly,/m/03kmc9,/m/07yv9,/m/0k4j",0,0,0,0,0,0,1,0
vueq0OKpLrM,200.0,210.0,/m/032s66,0,0,0,0,1,0,0,0
SGxKvnCxXcI,10.0,20.0,"/m/04rlf,/m/07p6fty",0,1,0,0,0,0,0,0
UOfOoG3xszo,150.0,160.0,"/m/04rlf,/m/07p6fty",0,1,0,0,0,0,0,0
A3bL35XpKeY,30.0,40.0,/m/04rlf,0,0,0,0,0,0,0,0
dF6J4OpD__Y,60.0,70.0,"/m/039jq,/m/04rlf,/m/04szw",0,0,0,0,0,1,0,0
5TA99cK7dsU,30.0,40.0,"/m/09x0r,/m/0g6b5",0,0,0,1,0,0,0,0
5rktf6NCKnE,10.0,20.0,"/m/0463cq4,/m/068hy,/m/0bt9lr,/m/0jbk",0,0,1,0,0,0,0,0
y-XEIcHUVJM,220.0,230.0,"/m/09x0r,/m/0c3f7m",0,0,0,0,0,0,0,1
YVAWELATEig,60.0,70.0,"/m/0463cq4,/m/09x0r",0,0,1,0,0,0,0,0
bnmC33g20mA,30.0,40.0,"/m/09x0r,/t/dd00002",0,0,1,0,0,0,0,0
pBAmr-jjGWc,70.0,80.0,"/m/03qc9zr,/m/09x0r,/m/0ytgt",1,0,0,0,0,0,0,0
B6UzSKKLfH8,110.0,120.0,"/m/04rlf,/m/07p6fty,/t/dd00126",0,1,0,0,0,0,0,0
fk6lhvFz-LA,150.0,160.0,/m/039jq,0,0,0,0,0,1,0,0
Xe2C-3p0CIg,100.0,110.0,"/m/03qc9zr,/m/09x0r",1,0,0,0,0,0,0,0
Z7vmkTLjuOo,0.0,7.0,"/m/04_sv,/m/07yv9,/m/09x0r",0,0,0,0,0,0,0,0
E94cS5qiBo0,230.0,240.0,"/m/04rlf,/m/07p6fty,/t/dd00127",0,1,0,0,0,0,0,0
EXOvgKdZOuQ,19.0,29.0,/m/014zdl,0,0,0,1,0,0,0,0
