fname,gt_Scream,gt_Shout,gt_Crying,gt_Explosion,gt_Gunshot,gt_Glass,gt_Siren,gt_Alarm,pseudo_Scream,pseudo_Shout,pseudo_Crying,pseudo_Explosion,pseudo_Gunshot,pseudo_Glass,pseudo_Siren,pseudo_Alarm,tuned_Scream,tuned_Shout,tuned_Crying,tuned_Explosion,tuned_Gunshot,tuned_Glass,tuned_Siren,tuned_Alarm,score_Scream,score_Shout,score_Crying,score_Explosion,score_Gunshot,score_Glass,score_Siren,score_Alarm
161290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1469,-0.0592,-0.054,-0.0783,-0.0163,-0.0772,-0.0411,-0.0667
113364,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0977,-0.0904,0.293,-0.1022,-0.139,-0.161,0.0211,0.111
155570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0152,-0.0354,-0.0554,-0.0713,0.0706,-0.0335,0.117,0.0684
368352,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,-0.1204,-0.0331,-0.1279,0.0581,0.0098,0.2878,-0.1128,0.0675
208938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0377,0.0398,-0.0454,-0.1109,-0.0759,0.0597,0.034,0.096
325330,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022,-0.0453,0.0343,0.0444,0.0911,0.0901,-0.0879,-0.0551
166293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0468,-0.0461,-0.0813,0.0186,0.0778,-0.1889,0.054,0.13
166943,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0.3647,0.4084,0.2375,0.3268,0.1248,0.2095,0.0827,0.0363
130060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0056,0.0194,-0.0229,0.043,0.0248,0.0191,-0.051,0.1395
368079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0589,-0.1361,-0.0527,-0.0123,0.052,-0.0059,-0.1018,-0.1358
419016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0049,0.0374,-0.038,-0.1338,-0.1172,-0.0957,0.013,0.0452
67514,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0.0937,0.0808,-0.0288,0.4574,0.2721,0.035,-0.0238,0.0766
238747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,-0.0517,-0.0868,0.1321,0.0517,0.0876,0.0735,0.1882,0.2775
67470,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,-0.0171,-0.0162,-0.0779,0.4272,0.2357,0.0846,-0.0492,0.0299
260432,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,-0.0291,0.0758,-0.117,0.1145,0.0964,0.4583,0.0375,0.0849
114245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.096,-0.0617,-0.0288,0.0119,0.0251,0.1768,-0.0031,-0.0128
161970,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.0143,-0.0045,-0.0135,0.294,0.1284,0.0136,0.0131,0.0732
52377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0291,0.0536,0.0276,-0.0958,0.1018,-0.08,0.0115,0.0203
201656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.0166,-0.016,-0.0231,0.0703,0.1331,0.1256,0.0341,0.2351
379079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1337,0.0619,0.0125,0.1236,0.1701,0.0923,0.0785,0.0483
262911,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1929,-0.1122,-0.1139,-0.1256,-0.0702,-0.1031,-0.0973,-0.1061
70348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0676,-0.1512,-0.1444,-0.1154,-0.2344,-0.1623,-0.0995,-0.1175
37231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0175,-0.036,0.0098,0.0258,0.0582,-0.0179,0.0608,0.0484
257815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.069,-0.1257,-0.0695,0.1119,0.1111,-0.032,-0.0261,-0.0129
