fname,labels,mids,split,multi_label,primary_label
161290,"Strum,Bowed_string_instrument,Musical_instrument,Music,Guitar,Plucked_string_instrument","/m/07s0s5r,/m/0l14_3,/m/04szw,/m/04rlf,/m/0342h,/m/0fx80y",val,"[0, 0, 0, 0, 0, 0, 0, 0]",Strum
113364,"Crying_and_sobbing,Human_voice","/m/0463cq4,/m/09l8g",train,"[0, 0, 1, 0, 0, 0, 0, 0]",
155570,"Computer_keyboard,Typing,Domestic_sounds_and_home_sounds","/m/01m2v,/m/0316dw,/t/dd00071",train,"[0, 0, 0, 0, 0, 0, 0, 0]",Computer_keyboard
368352,"Shatter,Glass","/m/07rn7sz,/m/039jq",train,"[0, 0, 0, 0, 0, 1, 0, 0]",
208938,"Dishes_and_pots_and_pans,Domestic_sounds_and_home_sounds","/m/04brg2,/t/dd00071",train,"[0, 0, 0, 0, 0, 0, 0, 0]",Dishes_and_pots_and_pans
325330,"Fireworks,Explosion","/m/0g6b5,/m/014zdl",val,"[0, 0, 0, 1, 0, 0, 0, 0]",
166293,Walk_and_footsteps,/m/07pbtc8,train,"[0, 0, 0, 0, 0, 0, 0, 0]",Walk_and_footsteps
166943,"Screaming,Human_voice","/m/03qc9zr,/m/09l8g",train,"[1, 0, 0, 0, 0, 0, 0, 0]",
130060,"Printer,Mechanisms","/m/01m4t,/t/dd00077",train,"[0, 0, 0, 0, 0, 0, 0, 0]",Printer
368079,"Fowl,Livestock_and_farm_animals_and_working_animals,Animal","/m/025rv6n,/m/0ch8v,/m/0jbk",train,"[0, 0, 0, 0, 0, 0, 0, 0]",Fowl
419016,"Drum,Drum_kit,Percussion,Musical_instrument,Music","/m/026t6,/m/02hnl,/m/0l14md,/m/04szw,/m/04rlf",train,"[0, 0, 0, 0, 0, 0, 0, 0]",Drum
67514,Explosion,/m/014zdl,train,"[0, 0, 0, 1, 0, 0, 0, 0]",
238747,"Mallet_percussion,Percussion,Musical_instrument,Music","/m/0j45pbj,/m/0l14md,/m/04szw,/m/04rlf",train,"[0, 0, 0, 0, 0, 0, 0, 0]",Mallet_percussion
67470,Explosion,/m/014zdl,train,"[0, 0, 0, 1, 0, 0, 0, 0]",
260432,"Shatter,Glass","/m/07rn7sz,/m/039jq",val,"[0, 0, 0, 0, 0, 1, 0, 0]",
114245,Crack,/m/07qs1cx,train,"[0, 0, 0, 0, 0, 0, 0, 0]",Crack
161970,"Gunshot_and_gunfire,Explosion","/m/032s66,/m/014zdl",train,"[0, 0, 0, 1, 1, 0, 0, 0]",
52377,Run,/m/06h7j,val,"[0, 0, 0, 0, 0, 0, 0, 0]",Run
201656,Bell,/m/0395lw,train,"[0, 0, 0, 0, 0, 0, 0, 0]",Bell
379079,Animal,/m/0jbk,train,"[0, 0, 0, 0, 0, 0, 0, 0]",Animal
262911,"Telephone,Alarm","/m/07cx4,/m/07pp_mv",train,"[0, 0, 0, 0, 0, 0, 0, 1]",
70348,"Cupboard_open_or_close,Door,Domestic_sounds_and_home_sounds","/m/0642b4,/m/02dgv,/t/dd00071",train,"[0, 0, 0, 0, 0, 0, 0, 0]",Cupboard_open_or_close
37231,"Cricket,Insect,Wild_animals,Animal","/m/09xqv,/m/03vt0,/m/01280g,/m/0jbk",train,"[0, 0, 0, 0, 0, 0, 0, 0]",Cricket
257815,"Fixed-wing_aircraft_and_airplane,Aircraft,Vehicle","/m/0cmf2,/m/0k5j,/m/07yv9",train,"[0, 0, 0, 0, 0, 0, 0, 0]",Fixed-wing_aircraft_and_airplane
360797,"Frying_(food),Domestic_sounds_and_home_sounds","/m/0dxrf,/t/dd00071",train,"[0, 0, 0, 0, 0, 0, 0, 0]",Frying_(food)
222359,"Gong,Percussion,Musical_instrument,Music","/m/0mbct,/m/0l14md,/m/04szw,/m/04rlf",train,"[0, 0, 0, 0, 0, 0, 0, 0]",Gong
53979,"Child_speech_and_kid_speaking,Speech,Human_voice","/m/0ytgt,/m/09x0r,/m/09l8g",val,"[0, 0, 0, 0, 0, 0, 0, 0]",Child_speech_and_kid_speaking
150468,"Crash_cymbal,Cymbal,Percussion,Musical_instrument,Music","/m/0bm0k,/m/01qbl,/m/0l14md,/m/04szw,/m/04rlf",train,"[0, 0, 0, 0, 0, 0, 0, 0]",Crash_cymbal
373919,"Drum,Percussion,Musical_instrument,Music","/m/026t6,/m/0l14md,/m/04szw,/m/04rlf",train,"[0, 0, 0, 0, 0, 0, 0, 0]",Drum
271407,"Hi-hat,Cymbal,Percussion,Musical_instrument,Music","/m/03qtq,/m/01qbl,/m/0l14md,/m/04szw,/m/04rlf",train,"[0, 0, 0, 0, 0, 0, 0, 0]",Hi-hat
394418,Whoosh_and_swoosh_and_swish,/m/07rqsjt,train,"[0, 0, 0, 0, 0, 0, 0, 0]",Whoosh_and_swoosh_and_swish
2835,"Car_passing_by,Engine,Car,Motor_vehicle_(road),Vehicle","/t/dd00134,/m/02mk9,/m/0k4j,/m/012f08,/m/07yv9",train,"[0, 0, 0, 0, 0, 0, 0, 0]",Car_passing_by
316586,"Splash_and_splatter,Liquid","/m/07rrlb6,/m/04k94",train,"[0, 0, 0, 0, 0, 0, 0, 0]",Splash_and_splatter
408178,"Packing_tape_and_duct_tape,Domestic_sounds_and_home_sounds","/m/05mxj0q,/t/dd00071",train,"[0, 0, 0, 0, 0, 0, 0, 0]",Packing_tape_and_duct_tape
187051,"Accordion,Musical_instrument,Music","/m/0mkg,/m/04szw,/m/04rlf",train,"[0, 0, 0, 0, 0, 0, 0, 0]",Accordion
21828,"Skateboard,Vehicle","/m/06_fw,/m/07yv9",train,"[0, 0, 0, 0, 0, 0, 0, 0]",Skateboard
33735,Alarm,/m/07pp_mv,train,"[0, 0, 0, 0, 0, 0, 0, 1]",
377295,"Mechanisms,Car,Motor_vehicle_(road),Vehicle","/t/dd00077,/m/0k4j,/m/012f08,/m/07yv9",train,"[0, 0, 0, 0, 0, 0, 0, 0]",Mechanisms
194698,Glass,/m/039jq,train,"[0, 0, 0, 0, 0, 1, 0, 0]",
430702,"Shatter,Glass","/m/07rn7sz,/m/039jq",val,"[0, 0, 0, 0, 0, 1, 0, 0]",
91176,"Cowbell,Bell","/m/0239kh,/m/0395lw",train,"[0, 0, 0, 0, 0, 0, 0, 0]",Cowbell
390715,"Shatter,Glass","/m/07rn7sz,/m/039jq",train,"[0, 0, 0, 0, 0, 1, 0, 0]",
425824,"Splash_and_splatter,Liquid","/m/07rrlb6,/m/04k94",val,"[0, 0, 0, 0, 0, 0, 0, 0]",Splash_and_splatter
116382,"Mallet_percussion,Percussion,Musical_instrument,Music","/m/0j45pbj,/m/0l14md,/m/04szw,/m/04rlf",train,"[0, 0, 0, 0, 0, 0, 0, 0]",Mallet_percussion
341038,"Sneeze,Respiratory_sounds","/m/01hsr_,/m/09hlz4",val,"[0, 0, 0, 0, 0, 0, 0, 0]",Sneeze
238583,"Scratching_(performance_technique),Musical_instrument,Music","/m/01hgjl,/m/04szw,/m/04rlf",train,"[0, 0, 0, 0, 0, 0, 0, 0]",Scratching_(performance_technique)
388206,"Fireworks,Explosion","/m/0g6b5,/m/014zdl",train,"[0, 0, 0, 1, 0, 0, 0, 0]",
389495,"Fowl,Livestock_and_farm_animals_and_working_animals,Animal","/m/025rv6n,/m/0ch8v,/m/0jbk",train,"[0, 0, 0, 0, 0, 0, 0, 0]",Fowl
234615,"Gunshot_and_gunfire,Explosion","/m/032s66,/m/014zdl",train,"[0, 0, 0, 1, 1, 0, 0, 0]",
378296,Wood,/m/083vt,train,"[0, 0, 0, 0, 0, 0, 0, 0]",Wood
176569,"Keys_jangling,Domestic_sounds_and_home_sounds","/m/03v3yw,/t/dd00071",val,"[0, 0, 0, 0, 0, 0, 0, 0]",Keys_jangling
182825,"Applause,Cheering,Human_group_actions","/m/028ght,/m/053hz1,/t/dd00012",train,"[0, 0, 0, 0, 0, 0, 0, 0]",Applause
343877,"Yell,Shout,Human_voice","/m/07sr1lc,/m/07p6fty,/m/09l8g",train,"[0, 1, 0, 0, 0, 0, 0, 0]",
106073,Domestic_sounds_and_home_sounds,/t/dd00071,train,"[0, 0, 0, 0, 0, 0, 0, 0]",Domestic_sounds_and_home_sounds
104033,"Screaming,Human_voice","/m/03qc9zr,/m/09l8g",train,"[1, 0, 0, 0, 0, 0, 0, 0]",
333080,"Drill,Power_tool,Tools","/m/01d380,/m/0_ksk,/m/07k1x",val,"[0, 0, 0, 0, 0, 0, 0, 0]",Drill
372606,"Fireworks,Explosion","/m/0g6b5,/m/014zdl",val,"[0, 0, 0, 1, 0, 0, 0, 0]",
415444,"Harp,Musical_instrument,Music","/m/03m5k,/m/04szw,/m/04rlf",train,"[0, 0, 0, 0, 0, 0, 0, 0]",Harp
338896,Fart,/m/02_nn,val,"[0, 0, 0, 0, 0, 0, 0, 0]",Fart
85911,"Water_tap_and_faucet,Domestic_sounds_and_home_sounds","/m/02jz0l,/t/dd00071",train,"[0, 0, 0, 0, 0, 0, 0, 0]",Water_tap_and_faucet
202426,Rattle,/m/07qn4z3,train,"[0, 0, 0, 0, 0, 0, 0, 0]",Rattle
91143,"Cowbell,Bell","/m/0239kh,/m/0395lw",train,"[0, 0, 0, 0, 0, 0, 0, 0]",Cowbell
213546,"Boat_and_Water_vehicle,Vehicle","/m/019jd,/m/07yv9",train,"[0, 0, 0, 0, 0, 0, 0, 0]",Boat_and_Water_vehicle
75846,"Drum,Percussion,Musical_instrument,Music","/m/026t6,/m/0l14md,/m/04szw,/m/04rlf",train,"[0, 0, 0, 0, 0, 0, 0, 0]",Drum
41425,"Bass_drum,Drum,Percussion,Musical_instrument,Music","/m/0bm02,/m/026t6,/m/0l14md,/m/04szw,/m/04rlf",train,"[0, 0, 0, 0, 0, 0, 0, 0]",Bass_drum
383107,"Frying_(food),Domestic_sounds_and_home_sounds","/m/0dxrf,/t/dd00071",train,"[0, 0, 0, 0, 0, 0, 0, 0]",Frying_(food)
365067,"Bicycle,Vehicle","/m/0199g,/m/07yv9",train,"[0, 0, 0, 0, 0, 0, 0, 0]",Bicycle
378847,"Chink_and_clink,Glass","/m/07q7njn,/m/039jq",train,"[0, 0, 0, 0, 0, 1, 0, 0]",
121306,Alarm,/m/07pp_mv,train,"[0, 0, 0, 0, 0, 0, 0, 1]",
232555,"Printer,Mechanisms","/m/01m4t,/t/dd00077",train,"[0, 0, 0, 0, 0, 0, 0, 0]",Printer
162208,"Raindrop,Drip,Rain,Water,Liquid","/m/07r10fb,/m/07r5v4s,/m/06mb1,/m/0838f,/m/04k94",val,"[0, 0, 0, 0, 0, 0, 0, 0]",Raindrop
426563,"Bird_vocalization_and_bird_call_and_bird_song,Bird,Wild_animals,Animal","/m/020bb7,/m/015p6,/m/01280g,/m/0jbk",train,"[0, 0, 0, 0, 0, 0, 0, 0]",Bird_vocalization_and_bird_call_and_bird_song
407723,"Chuckle_and_chortle,Gasp,Human_voice,Laughter,Breathing,Respiratory_sounds","/m/07rgt08,/m/07s0dtb,/m/09l8g,/m/01j3sz,/m/0lyf6,/m/09hlz4",train,"[0, 0, 0, 0, 0, 0, 0, 0]",Chuckle_and_chortle
